Index	Longitude	Latitude
0	-17.560976610480281579	8.728409139080719470
1	-14.357144536870755758	8.231605824149577089
2	-11.275495651252400719	7.728546517993844844
3	-9.533681645491606460	7.433793147954176561
4	-6.621722875654862506	6.925083268863500230
5	-3.802199124590841084	6.414549051845372496
6	-2.199363800277438941	6.116905104835018037
7	0.496711082758058753	5.604894420409889833
8	3.128651396557507347	5.092273906642305725
9	4.635004074896801995	4.793626151139081415
10	7.186504452016150957	4.279756818585938483
11	9.699959017826385477	3.764592614542074500
12	11.149059154304737262	3.463949769275778579
13	13.621844624019971093	2.945488402163025210
14	16.080975118908213517	2.423973668725333486
15	17.509524098211635135	2.118716528712103919
16	19.965831593709232550	1.590601462698173041
17	22.432204409344244311	1.057110991947991074
18	23.875902136599499670	0.743767671616818116
19	26.377157944116252253	0.199792517812440590
20	28.912696598312177088	-0.352058514268964950
21	30.407985741982994199	-0.677224993102513606
22	33.017785825934574007	-1.243400605199849407
23	35.687650023304271940	-1.819678522763463979
24	37.273303672494854766	-2.159979791192911502
25	40.059904163075060524	-2.753476422994712625
26	42.934540992381663216	-3.358282090052370883
27	44.652573985790425581	-3.715470589212380048
28	47.689793850065022696	-4.337865179117776471
29	50.844714255591732410	-4.970437984258226471
30	-18.689728574769485903	11.737472266258384579
31	-15.370333217761954714	11.350870080096390424
32	-12.160604894183288494	10.940651198958741830
33	-10.339606270431772828	10.692405847161710497
34	-7.285284845710382484	10.251497710084825243
35	-4.317256450624640252	9.794469458833852116
36	-2.625899539155970519	9.521833904560915940
37	0.224799228287736769	9.042983878143775911
38	3.013394218690192972	8.551968454451976953
39	4.611389918084817907	8.260933594900311761
40	7.320483368388451595	7.752174759296602602
41	9.990942786953079136	7.232666664668012224
42	11.530837924886657930	6.925398664458367826
43	14.158154844817333995	6.388894588819508336
44	16.769384490059248805	5.841330800504049847
45	18.285082085429241516	5.517391095145004698
46	20.888345051282829701	4.951355547810016411
47	23.497586601454671040	4.372826497408226487
48	25.022277120719671473	4.030083375047674110
49	27.658481888476039501	3.430229908109891923
50	30.322916130299539361	2.815823803110457657
51	31.890064482327922235	2.451208164058537697
52	34.617190190101410963	1.812044650958849479
53	37.395567183760441310	1.156194860613629194
54	39.039777377292175231	0.766537618117728803
55	41.918037799912134744	0.082950791156896075
56	44.871500218070806909	-0.618721208703715386
57	46.628727348288173005	-1.035461344764525338
58	49.720332275271083233	-1.765764534681628417
59	52.911198460246559705	-2.513506286680632140
60	-19.801688181549110368	14.634828018543919015
61	-16.374110906609516292	14.372150312994692811
62	-13.041893239059776377	14.068809844454658986
63	-11.144150969799948570	13.875169681654814013
64	-7.950350475713405807	13.515540400575368096
65	-4.835209181367621234	13.124627513320966443
66	-3.055545710922557223	12.883822095325871970
67	-0.049747226013136310	12.448814075011789271
68	2.896811327971164030	11.988631726179118431
69	4.587485399155514898	11.709866302004407146
70	7.456234047016426558	11.212945635042375514
71	10.285888848788909300	10.694184589403477048
72	11.917811129006000925	10.382499243585241899
73	14.701536974844504613	9.830463267464315535
74	17.466242266795141802	9.257775973677102144
75	19.069573013409996776	8.914985510659358070
76	21.819942998175914539	8.309575646768355028
77	24.571184910277342084	7.683155882948439874
78	26.175826421695088442	7.308747890041146889
79	28.944167064657040811	6.648158748622319258
80	31.733282391258210708	5.965224157738171051
81	33.369151804689209939	5.557221622921953319
82	36.206986539397668423	4.837610990919581688
83	39.085686953281459921	4.093991968244585777
84	40.782969131105957672	3.649937410509296321
85	43.742280710242987141	2.867264033065703543
86	46.762585836658800531	2.059488746127820402
87	48.551487124919120220	1.577801277876638153
88	51.683832609070989861	0.730455298720174340
89	54.896453326361708491	-0.141179886852351055
90	-20.444145398014107684	16.273292348850418421
91	-16.956699760017766465	16.088222692828502147
92	-13.555461013290681649	15.852849848657708520
93	-11.613991240010806294	15.694374029405002702
94	-8.339996866729711300	15.387764517010067422
95	-5.139494924430779044	15.040760627276849704
96	-3.308296083773734519	14.821447013080874200
97	-0.211570099042882903	14.416635389053759297
98	2.827994811362429584	13.978469072851954280
99	4.573366111412212831	13.708905023296438230
100	7.536473902353892917	13.221851373329206680
101	10.460275447665290827	12.705766332640854088
102	12.146600723329063598	12.392470932685970553
103	15.022673998576554055	11.832458494627569934
104	17.877752896143938699	11.245483645146993723
105	19.532531877829185873	10.891591784950829691
106	22.368932071497937386	10.262509359830605860
107	25.202711847793082711	9.606826432826354178
108	26.853552979839296455	9.212909302520307264
109	29.697719290021428407	8.514692199295684105
110	32.557638397686162079	7.789117086876685470
111	34.232150846219134621	7.354068620501013953
112	37.131520439071948658	6.584282155549882276
113	40.064992293003058421	5.785957608663544249
114	41.790738183427635022	5.308048263189723670
115	44.792547494382830564	4.463853123370971510
116	47.846516780213775633	3.590460887057686179
117	49.650593257833762095	3.068763284025321170
118	52.800799959833064179	2.149644585628299520
119	56.020095109236486053	1.202536078395632257
120	-21.545045375784972919	19.012889094975903959
121	-17.959622710528730494	18.969303285335051612
122	-14.443234710776293284	18.859499963956846358
123	-12.427952281299932125	18.766691864370010023
124	-9.017295858764287075	18.560170452456837609
125	-5.669920409451257193	18.297276002414722740
126	-3.749509664953274868	18.119667397234167083
127	-0.494628374771681312	17.774328382033193208
128	2.707439327354635772	17.380629330330773286
129	4.548615242934440417	17.130242054720500988
130	7.677236391173535957	16.665000404016158342
131	10.766275992922331284	16.157142509272620856
132	12.548038305387386515	15.842613160824036811
133	15.585884071610101032	15.270530889626908078
134	18.598809647798404399	14.659403538113314980
135	20.343153267728624201	14.286116849342599622
136	23.328687911659990561	13.614911241361998151
137	26.304599720698035981	12.906441884677981591
138	28.034491816367406614	12.477100889081254920
139	31.007427250036769806	11.710280742005839016
140	33.986230688546115175	10.906747298443571381
141	35.724935482456061209	10.422213537306703302
142	38.725234717399033002	9.560655245602655228
143	41.746778199982045976	8.662440823711254012
144	43.517383873774058145	8.122846297801753934
145	46.584440388679468015	7.166879848811234410
