Error on sys_iter: 726, step_num: 195, rand_seed: 29474
Error on sys_iter: 946, step_num: 214, rand_seed: 31340
Error on sys_iter: 866, step_num: 214, rand_seed: 32006
Error on sys_iter: 907, step_num: 180, rand_seed: 6607
Error on sys_iter: 848, step_num: 211, rand_seed: 23509
Error on sys_iter: 909, step_num: 178, rand_seed: 22811
Error on sys_iter: 889, step_num: 171, rand_seed: 21127
Error on sys_iter: 750, step_num: 192, rand_seed: 13616
Error on sys_iter: 890, step_num: 202, rand_seed: 19271
Error on sys_iter: 930, step_num: 213, rand_seed: 10211
Error on sys_iter: 951, step_num: 180, rand_seed: 28578
Error on sys_iter: 732, step_num: 202, rand_seed: 19271
Error on sys_iter: 931, step_num: 213, rand_seed: 15359
Error on sys_iter: 832, step_num: 197, rand_seed: 20922
Error on sys_iter: 872, step_num: 212, rand_seed: 14843
Error on sys_iter: 813, step_num: 187, rand_seed: 22160
Error on sys_iter: 893, step_num: 204, rand_seed: 31397
Error on sys_iter: 737, step_num: 195, rand_seed: 2957
Error on sys_iter: 896, step_num: 200, rand_seed: 13307
Error on sys_iter: 956, step_num: 200, rand_seed: 32294
Error on sys_iter: 817, step_num: 171, rand_seed: 20171
Error on sys_iter: 797, step_num: 194, rand_seed: 14311
Error on sys_iter: 877, step_num: 156, rand_seed: 31956
Error on sys_iter: 819, step_num: 134, rand_seed: 9972
Error on sys_iter: 939, step_num: 198, rand_seed: 2708
Error on sys_iter: 959, step_num: 214, rand_seed: 24141
Error on sys_iter: 859, step_num: 201, rand_seed: 3729
Error on sys_iter: 900, step_num: 213, rand_seed: 9951
Error on sys_iter: 940, step_num: 198, rand_seed: 2865
Error on sys_iter: 880, step_num: 195, rand_seed: 23623
